"id","user_id","mensaje","enviado_utc","http","latencia_ms","error"
"1","E7-5492610000001@whatsapp.sim","hola","2026-09-11 17:34:31.750","200","76",
"2","E7-5492610000002@whatsapp.sim","me llego el producto equivocado","2026-09-11 17:34:34.851","200","31",
"3","E7-5492610000003@whatsapp.sim","hacen envios a todo el pais?","2026-09-11 17:34:37.894","200","36",
"4","E7-5492610000004@whatsapp.sim","buenas! queria saber cuando llega mi compra","2026-09-11 17:34:40.933","200","32",
"5","E7-5492610000005@whatsapp.sim","cuanto tarda el envio? porque el mio ya lleva 8 dias","2026-09-11 17:34:43.975","200","33",
"6","E7-5492610000006@whatsapp.sim","puedo pagar en cuotas?","2026-09-11 17:34:47.020","200","32",
"7","E7-5492610000007@whatsapp.sim","hace 10 dias que espero y no llega nada","2026-09-11 17:34:50.056","200","30",
"8","E7-5492610000008@whatsapp.sim","donde esta mi pedido ORD-2024-0087?","2026-09-11 17:34:53.096","200","30",
"9","E7-5492610000009@whatsapp.sim","gracias por todo","2026-09-11 17:34:56.129","200","30",
"10","E7-5492610000010@whatsapp.sim","cual es la politica de cambios?","2026-09-11 17:34:59.162","200","28",
"11","E7-5492610000011@whatsapp.sim","me cobraron dos veces la misma compra","2026-09-11 17:35:02.193","200","30",
"12","E7-5492610000012@whatsapp.sim","me pueden dar el numero de seguimiento?","2026-09-11 17:35:05.236","200","33",
"13","E7-5492610000013@whatsapp.sim","tienen garantia los productos?","2026-09-11 17:35:08.286","200","28",
"14","E7-5492610000014@whatsapp.sim","buenas!","2026-09-11 17:35:11.331","200","42",
"15","E7-5492610000015@whatsapp.sim","el producto vino fallado","2026-09-11 17:35:14.374","200","44",
"16","E7-5492610000016@whatsapp.sim","mi orden ORD-1122 figura despachada pero no llego nada","2026-09-11 17:35:17.432","200","30",
"17","E7-5492610000017@whatsapp.sim","hacen factura A?","2026-09-11 17:35:20.471","200","29",
"18","E7-5492610000018@whatsapp.sim","quiero la devolucion de mi plata","2026-09-11 17:35:23.515","200","28",
"19","E7-5492610000019@whatsapp.sim","che, el pedido que hice el martes ya salio?","2026-09-11 17:35:26.548","200","28",
"20","E7-5492610000020@whatsapp.sim","cuanto sale el envio a cordoba?","2026-09-11 17:35:29.584","200","29",
"21","E7-5492610000021@whatsapp.sim","hola, compre ayer y queria saber si me pueden hacer factura A","2026-09-11 17:35:32.618","200","27",
"22","E7-5492610000022@whatsapp.sim","excelente atencion, gracias!","2026-09-11 17:35:35.649","200","27",
"23","E7-5492610000023@whatsapp.sim","nadie responde mi reclamo anterior","2026-09-11 17:35:38.692","200","28",
"24","E7-5492610000024@whatsapp.sim","quiero saber el estado de mi compra por favor","2026-09-11 17:35:41.733","200","30",
"25","E7-5492610000025@whatsapp.sim","aceptan mercado pago?","2026-09-11 17:35:44.772","200","39",
"26","E7-5492610000026@whatsapp.sim","el monitor llego con la pantalla rota","2026-09-11 17:35:47.822","200","28",
"27","E7-5492610000027@whatsapp.sim","buen dia","2026-09-11 17:35:50.861","200","28",
"28","E7-5492610000028@whatsapp.sim","tengo el pedido 4471, en que anda?","2026-09-11 17:35:53.891","200","28",
"29","E7-5492610000029@whatsapp.sim","cuanto tarda el envio normalmente?","2026-09-11 17:35:56.927","200","29",
"30","E7-5492610000030@whatsapp.sim","pague y me dicen que no hay stock, esto es una verguenza","2026-09-11 17:35:59.972","200","29",
"31","E7-5492610000031@whatsapp.sim","cuando me llega lo que compre ayer?","2026-09-11 17:36:03.015","200","27",
"32","E7-5492610000032@whatsapp.sim","si no estoy en casa cuando llega el pedido que pasa?","2026-09-11 17:36:06.050","200","27",
"33","E7-5492610000033@whatsapp.sim","hola, una consulta","2026-09-11 17:36:09.081","200","28",
"34","E7-5492610000034@whatsapp.sim","pedi talle L y me mandaron S","2026-09-11 17:36:12.123","200","45",
