id,C1_R1,C1_R2,C1_R3,C2_R1,C2_R2,C2_R3,C3_R1,C3_R2,C3_R3,C4_R1,C4_R2,C4_R3
1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,0,0,0
4,1,1,1,1,1,1,1,1,1,1,1,1
5,0,0,0,0,0,0,0,0,0,1,1,1
6,1,1,1,1,1,1,1,0,1,0,0,0
7,1,1,1,1,1,1,0,0,0,0,0,0
8,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,0,0,0,0,0,0
13,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,0,0,0,0,0,0
17,1,1,1,1,1,1,0,1,1,0,0,0
18,1,1,1,1,1,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,0,0,0,0,0,0
21,1,1,1,1,1,1,1,1,1,0,0,1
22,1,1,1,1,1,1,1,1,1,1,1,1
23,1,1,1,1,1,1,1,1,1,1,1,1
24,1,1,1,1,1,1,1,1,1,1,1,1
25,1,1,1,1,1,1,0,1,1,0,0,0
26,1,1,1,1,1,1,1,1,1,1,1,1
27,1,1,1,1,1,1,1,1,1,1,1,1
28,1,1,1,1,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1,1,1,1,1
30,1,1,1,1,1,1,1,1,1,1,1,1
31,1,1,1,1,1,1,1,1,1,1,1,1
32,1,1,1,1,1,1,1,1,1,1,1,1
33,1,1,1,1,1,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1,1,1,1,1,1
35,1,1,1,1,1,1,1,1,1,1,1,1
36,1,1,1,1,1,1,1,1,1,0,0,0
37,1,1,1,1,1,1,0,0,0,0,0,0
38,1,1,1,1,1,1,0,0,0,0,0,0
39,1,1,1,1,1,1,1,1,1,1,1,1
40,1,1,1,1,1,1,1,1,1,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0
